[Subject]	
[Date]	01/01/2007
[Time]	00:56:52
[Channels]	33
[Rate]	500.000000
[Type]	Average
[Points]	751
[Xmin]	-200.00000
[Sweeps]	110
[Accepted]	38
[Rejected]	72
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[     FP1]	[     FP2]	[      F3]	[      F4]	[      C3]	[      C4]	[      P3]	[      P4]	[      O1]	[      O2]	[      F7]	[      F8]	[      T3]	[      T4]	[      T5]	[      T6]	[      CZ]	[      FZ]	[      PZ]	[     FCZ]	[     CPZ]	[     CP3]	[     CP4]	[     FC3]	[     FC4]	[     TP7]	[     TP8]	[     FPZ]	[      OZ]	[     FT7]	[     FT8]	[      A1]	[     BP1]	
[Electrode XUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Electrode YUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Average Data]
    -1.0768	    -0.4077	    -0.5135	     0.0518	    -0.1768	    -0.3323	    -0.0513	    -0.2469	    -0.3160	    -0.3252	    -1.3982	    -0.1357	    -1.6298	     2.1197	     0.1697	     0.0717	    -0.3342	    -0.1575	    -0.3644	    -0.1978	    -0.3163	    -0.0437	    -0.4286	    -0.4345	    -0.0432	     0.1656	     0.0150	    -0.4695	    -0.3142	    -0.5547	    -0.2935	     0.4322	     0.9129	
    -1.1819	    -0.5983	    -0.4813	    -0.0125	    -0.3187	    -0.3738	    -0.3062	    -0.2061	    -0.8030	    -0.7291	    -1.4045	    -0.2126	    -1.8086	     1.9480	     0.0105	     0.4936	    -0.4456	    -0.2006	    -0.5283	    -0.2441	    -0.4481	    -0.2429	    -0.4121	    -0.4478	    -0.0440	     0.0386	     0.4166	    -0.6468	    -0.7667	    -0.1327	    -0.2849	     0.6620	     1.2086	
    -1.1027	    -0.7356	    -0.5260	    -0.1968	    -0.5046	    -0.5974	    -0.5509	    -0.3544	    -1.0203	    -0.9220	    -1.2045	    -0.2981	    -0.9514	     0.8602	    -0.2146	     0.7163	    -0.6926	    -0.3731	    -0.7754	    -0.4393	    -0.7336	    -0.4680	    -0.5596	    -0.4784	    -0.2275	    -0.1873	     0.5617	    -0.6782	    -0.9275	     0.6758	    -0.2817	     0.7373	     1.1231	
    -0.8501	    -0.6524	    -0.7127	    -0.4752	    -0.8152	    -0.9981	    -0.8771	    -0.6202	    -0.5866	    -0.4828	    -1.0265	    -0.2996	    -0.7592	    -0.3774	    -0.6554	     0.6693	    -1.1161	    -0.6468	    -1.0648	    -0.8370	    -1.1414	    -0.8546	    -0.8733	    -0.7208	    -0.5765	    -0.6500	     0.3719	    -0.5001	    -0.4452	     0.8053	    -0.2276	     0.7239	     0.9459	
    -0.7458	    -0.5960	    -1.1950	    -0.9199	    -1.4567	    -1.5706	    -1.4716	    -1.0202	    -0.0140	     0.0654	    -1.1810	    -0.3294	    -2.3434	    -1.2017	    -1.1597	     0.2073	    -1.7412	    -1.1041	    -1.4891	    -1.4620	    -1.7217	    -1.5495	    -1.4285	    -1.4148	    -1.1482	    -1.1629	    -0.1881	    -0.4374	     0.1054	    -0.3570	    -0.3225	     0.4722	     0.7286	
    -1.1364	    -0.9928	    -2.0091	    -1.5607	    -2.4582	    -2.1902	    -2.2669	    -1.5080	     0.1373	     0.1540	    -1.7629	    -0.7145	    -3.6242	    -1.6620	    -1.3730	    -0.4169	    -2.4243	    -1.8193	    -2.0216	    -2.2251	    -2.3939	    -2.3871	    -2.0575	    -2.4838	    -1.8423	    -1.3754	    -0.9198	    -0.8734	     0.1783	    -2.3867	    -0.8425	    -0.0352	    -0.4062	
    -1.8736	    -1.7724	    -2.8584	    -2.1654	    -3.4746	    -2.5745	    -2.9892	    -1.8625	    -0.2266	    -0.2687	    -2.4703	    -1.4972	    -2.7379	    -1.7255	    -1.2169	    -0.7330	    -2.9160	    -2.5260	    -2.4365	    -2.8439	    -2.9052	    -3.0561	    -2.4081	    -3.5316	    -2.3646	    -1.2178	    -1.3982	    -1.6616	    -0.2225	    -4.2690	    -1.5969	    -0.4070	    -1.9026	
    -2.4649	    -2.4319	    -3.3651	    -2.5026	    -4.0738	    -2.6200	    -3.3939	    -1.9394	    -0.7364	    -0.7589	    -2.9605	    -2.2760	    -0.5733	    -1.4095	    -0.9738	    -0.7197	    -3.0768	    -2.8906	    -2.5894	    -3.0980	    -3.0895	    -3.3855	    -2.3830	    -4.1190	    -2.5246	    -0.9872	    -1.3794	    -2.2522	    -0.7220	    -5.3364	    -1.9899	    -0.4203	    -2.4453	
    -2.6187	    -2.5990	    -3.4184	    -2.4751	    -4.0864	    -2.3980	    -3.3460	    -1.7543	    -0.8360	    -0.8122	    -3.0413	    -2.5215	     1.1795	    -1.1758	    -0.8491	    -0.5503	    -2.9372	    -2.8514	    -2.4106	    -2.9718	    -2.9287	    -3.3110	    -2.0913	    -4.1300	    -2.3654	    -0.8500	    -0.9818	    -2.3588	    -0.8193	    -5.5646	    -1.6785	    -0.3780	    -1.8265	
    -2.4328	    -2.3959	    -3.1870	    -2.2406	    -3.6927	    -2.0592	    -2.9359	    -1.4202	    -0.3756	    -0.2930	    -2.8068	    -2.1552	     2.0885	    -0.9970	    -0.8154	    -0.2695	    -2.6070	    -2.6185	    -2.0310	    -2.6463	    -2.5617	    -2.9251	    -1.7140	    -3.7763	    -2.0548	    -0.7904	    -0.5324	    -2.1557	    -0.3542	    -5.0987	    -0.9366	    -0.5019	    -0.9387	
    -2.0681	    -2.0633	    -2.7941	    -1.9748	    -3.0488	    -1.6906	    -2.2802	    -1.0406	     0.4244	     0.5164	    -2.3433	    -1.5317	     2.4728	    -0.2244	    -0.7644	     0.0740	    -2.1419	    -2.3213	    -1.5800	    -2.2573	    -2.1092	    -2.3024	    -1.3368	    -3.1543	    -1.7686	    -0.7355	    -0.2351	    -1.8483	     0.4520	    -3.8808	    -0.3013	    -0.6015	    -0.5725	
    -1.6493	    -1.6955	    -2.3204	    -1.7607	    -2.2755	    -1.3385	    -1.5297	    -0.6681	     1.1279	     1.1830	    -1.7943	    -1.0376	     1.7042	     0.7888	    -0.6664	     0.3634	    -1.6392	    -2.0123	    -1.1032	    -1.8549	    -1.6182	    -1.5903	    -0.9807	    -2.3771	    -1.5953	    -0.6147	    -0.0916	    -1.4789	     1.1782	    -2.1546	    -0.1860	    -0.5309	    -0.4556	
    -1.4171	    -1.4249	    -1.9981	    -1.6869	    -1.7485	    -1.1542	    -1.0622	    -0.4618	     1.2063	     1.2089	    -1.4664	    -0.7898	    -0.4039	     0.8641	    -0.6483	     0.4395	    -1.2926	    -1.8429	    -0.7620	    -1.6189	    -1.2865	    -1.1621	    -0.7768	    -1.8415	    -1.5898	    -0.5763	    -0.0352	    -1.2585	     1.2512	    -0.7437	    -0.5280	    -0.3568	    -0.3011	
    -1.3936	    -1.3112	    -1.9463	    -1.7144	    -1.6434	    -1.1307	    -1.0113	    -0.4901	     0.6871	     0.6662	    -1.5253	    -0.7365	    -2.0666	    -0.2966	    -0.7871	     0.2654	    -1.1655	    -1.8742	    -0.6538	    -1.6032	    -1.1986	    -1.0938	    -0.7611	    -1.7246	    -1.6698	    -0.6994	    -0.0383	    -1.2264	     0.6881	    -0.1602	    -0.9444	    -0.0345	    -0.3043	
    -1.4085	    -1.2704	    -1.9699	    -1.7183	    -1.6802	    -1.0930	    -1.0669	    -0.5520	     0.2997	     0.3007	    -1.7566	    -0.8471	    -2.0807	    -1.9459	    -1.0208	     0.0325	    -1.1004	    -1.9252	    -0.6099	    -1.6275	    -1.1673	    -1.1260	    -0.7603	    -1.7678	    -1.6556	    -0.9072	    -0.0893	    -1.2052	     0.2426	    -0.1845	    -1.2127	     0.3185	    -0.1231	
    -1.2807	    -1.1747	    -1.8326	    -1.6132	    -1.5344	    -0.8867	    -0.9320	    -0.4320	     0.4510	     0.4732	    -1.8303	    -1.0251	    -1.2957	    -2.9694	    -1.1785	    -0.0922	    -0.9240	    -1.7785	    -0.4483	    -1.5130	    -0.9908	    -0.9919	    -0.6215	    -1.6580	    -1.4415	    -1.0249	    -0.1332	    -1.0209	     0.3806	    -0.3782	    -1.3146	     0.4157	     0.5239	
