[Subject]	
[Date]	01/01/2007
[Time]	00:56:52
[Channels]	33
[Rate]	500.000000
[Type]	Average
[Points]	751
[Xmin]	-200.00000
[Sweeps]	110
[Accepted]	40
[Rejected]	70
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[     FP1]	[     FP2]	[      F3]	[      F4]	[      C3]	[      C4]	[      P3]	[      P4]	[      O1]	[      O2]	[      F7]	[      F8]	[      T3]	[      T4]	[      T5]	[      T6]	[      CZ]	[      FZ]	[      PZ]	[     FCZ]	[     CPZ]	[     CP3]	[     CP4]	[     FC3]	[     FC4]	[     TP7]	[     TP8]	[     FPZ]	[      OZ]	[     FT7]	[     FT8]	[      A1]	[     BP1]	
[Electrode XUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Electrode YUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Average Data]
    -0.6548	    -0.8371	    -0.5034	    -0.2401	    -0.5267	    -0.0326	    -0.2736	    -0.5427	    -0.4048	    -0.3837	    -1.0545	    -1.2388	    -0.4491	    -1.5581	     0.2378	    -1.0111	     0.2135	    -0.1469	     0.1945	     0.1801	     0.1921	    -0.1904	    -0.3569	    -0.6682	    -0.0661	     0.2045	    -0.6719	    -0.7433	    -0.4014	    -2.9573	    -1.3815	    -0.3059	    -0.1107	
    -0.8388	    -1.0592	    -0.4408	    -0.3518	    -0.3248	     0.0173	    -0.1082	    -0.3490	    -0.0681	    -0.0573	    -0.9665	    -1.3267	     1.2742	    -0.9844	     0.5052	    -0.6437	     0.3290	    -0.1349	     0.3011	     0.2144	     0.3240	    -0.0548	    -0.1676	    -0.5460	    -0.1168	     0.4779	    -0.4782	    -0.9273	    -0.0669	    -1.9507	    -1.4896	    -0.3468	    -1.0674	
    -0.8388	    -1.0949	    -0.2195	    -0.4070	    -0.0171	     0.0322	     0.0625	    -0.2179	     0.0817	     0.0693	    -0.6648	    -1.5032	     3.2374	    -1.1617	     0.6259	    -0.5201	     0.4773	    -0.0262	     0.3860	     0.3090	     0.4677	     0.0912	    -0.0626	    -0.2823	    -0.1689	     0.6344	    -0.4767	    -0.9430	     0.1030	    -0.7169	    -1.6624	    -0.2991	    -1.7238	
    -0.8611	    -1.0927	    -0.1323	    -0.4912	     0.1938	    -0.0937	     0.1288	    -0.2946	     0.0690	     0.0597	    -0.4517	    -1.7342	     3.8625	    -1.9046	     0.3577	    -0.7779	     0.4736	    -0.0172	     0.3488	     0.3351	     0.4588	     0.1247	    -0.1840	    -0.1087	    -0.3060	     0.3632	    -0.7762	    -0.9653	     0.1149	    -0.0598	    -1.8710	    -0.2023	    -2.0732	
    -0.8701	    -1.0718	    -0.1547	    -0.5493	     0.2944	    -0.2382	     0.2234	    -0.3721	     0.3358	     0.3018	    -0.4204	    -1.8177	     2.8664	    -2.3359	     0.0061	    -0.9738	     0.3916	    -0.0589	     0.3167	     0.3373	     0.3992	     0.1806	    -0.3248	    -0.0148	    -0.4260	    -0.0503	    -1.1249	    -0.9825	     0.3749	    -0.2326	    -1.9791	    -0.1874	    -2.4003	
    -0.6033	    -0.8237	     0.0078	    -0.3608	     0.5045	    -0.0930	     0.5207	    -0.1598	     0.8275	     0.7585	    -0.3854	    -1.5122	     1.5841	    -1.6021	    -0.0103	    -0.7115	     0.4803	     0.1206	     0.4836	     0.5229	     0.5318	     0.4742	    -0.1602	     0.2184	    -0.2643	    -0.1062	    -1.0877	    -0.7612	     0.8220	    -0.5560	    -1.7451	    -0.1650	    -2.1291	
    -0.1355	    -0.3588	     0.3266	     0.0743	     0.8569	     0.3906	     0.8798	     0.3267	     0.9884	     0.9716	    -0.1835	    -0.9236	     0.4889	     0.1347	     0.2385	    -0.0753	     0.7478	     0.4984	     0.7898	     0.8544	     0.8142	     0.8765	     0.3263	     0.6208	     0.1872	     0.1434	    -0.5982	    -0.3507	     0.9859	    -0.3243	    -1.1200	    -0.0227	    -0.9884	
     0.1506	     0.0175	     0.4846	     0.4200	     1.0722	     0.8197	     0.9900	     0.7477	     0.8051	     0.8934	     0.0490	    -0.5123	    -1.0303	     1.4698	     0.3935	     0.5238	     0.9117	     0.7256	     0.9657	     1.0116	     0.9699	     1.0188	     0.7398	     0.8949	     0.5627	     0.3081	    -0.0707	    -0.0713	     0.8816	     0.3269	    -0.4264	     0.1047	     0.3698	
     0.2073	     0.2141	     0.4548	     0.5542	     1.0268	     0.9799	     0.8232	     0.9243	     0.7925	     0.8852	     0.1443	    -0.3641	    -2.4123	     1.4765	     0.3667	     0.8821	     0.8744	     0.6995	     0.9724	     0.9379	     0.9364	     0.8460	     0.8881	     0.9352	     0.7132	     0.3140	     0.3108	     0.0457	     0.9114	     0.9557	     0.1980	     0.1442	     1.3205	
     0.3026	     0.3945	     0.4756	     0.6331	     0.9128	     0.9851	     0.6034	     0.9608	     1.1054	     1.0923	     0.1972	    -0.2665	    -2.5897	     0.7099	     0.3585	     1.0736	     0.7880	     0.6667	     0.9932	     0.8388	     0.8626	     0.6411	     0.9239	     0.8890	     0.7773	     0.3632	     0.6111	     0.1984	     1.1505	     1.4974	     0.6964	     0.2149	     1.7542	
